"time","Presens_data.pH_value","position"
"2021-09-15T15:24:25.000Z","6.76","0"
"2021-09-15T15:24:25.000Z","6.79","1"
"2021-09-15T15:24:25.000Z","6.81","10"
"2021-09-15T15:24:25.000Z","6.85","11"
"2021-09-15T15:24:25.000Z","6.8","12"
"2021-09-15T15:24:25.000Z","6.79","13"
"2021-09-15T15:24:25.000Z","6.83","14"
"2021-09-15T15:24:25.000Z","6.88","15"
"2021-09-15T15:24:25.000Z","6.81","16"
"2021-09-15T15:24:25.000Z","6.83","17"
"2021-09-15T15:24:25.000Z","6.92","18"
"2021-09-15T15:24:25.000Z","6.97","19"
"2021-09-15T15:24:25.000Z","6.88","2"
"2021-09-15T15:24:25.000Z","6.82","20"
"2021-09-15T15:24:25.000Z","6.84","21"
"2021-09-15T15:24:25.000Z","6.9","22"
"2021-09-15T15:24:25.000Z","6.88","23"
"2021-09-15T15:24:25.000Z","6.79","24"
"2021-09-15T15:24:25.000Z","6.74","25"
"2021-09-15T15:24:25.000Z","6.83","26"
"2021-09-15T15:24:25.000Z","6.81","27"
"2021-09-15T15:24:25.000Z","6.87","28"
"2021-09-15T15:24:25.000Z","6.85","29"
"2021-09-15T15:24:25.000Z","6.89","3"
"2021-09-15T15:24:25.000Z","6.66","30"
"2021-09-15T15:24:25.000Z","6.76","31"
"2021-09-15T15:24:25.000Z","6.87","32"
"2021-09-15T15:24:25.000Z","6.89","33"
"2021-09-15T15:24:25.000Z","6.88","34"
"2021-09-15T15:24:25.000Z","6.84","35"
"2021-09-15T15:24:25.000Z","6.81","36"
"2021-09-15T15:24:25.000Z","6.76","37"
"2021-09-15T15:24:25.000Z","6.88","38"
"2021-09-15T15:24:25.000Z","6.82","39"
"2021-09-15T15:24:25.000Z","6.8","4"
"2021-09-15T15:24:25.000Z","6.52","40"
"2021-09-15T15:24:25.000Z","6.2","41"
"2021-09-15T15:24:25.000Z","6.58","42"
"2021-09-15T15:24:25.000Z","6.51","43"
"2021-09-15T15:24:25.000Z","6.31","44"
"2021-09-15T15:24:25.000Z","6.24","45"
"2021-09-15T15:24:25.000Z","6.38","46"
"2021-09-15T15:24:25.000Z","6.29","47"
"2021-09-15T15:24:25.000Z","6.77","5"
"2021-09-15T15:24:25.000Z","6.85","6"
"2021-09-15T15:24:25.000Z","6.85","7"
"2021-09-15T15:24:25.000Z","6.83","8"
"2021-09-15T15:24:25.000Z","6.89","9"
"2021-09-15T15:25:25.000Z","6.76","0"
"2021-09-15T15:25:25.000Z","6.79","1"
"2021-09-15T15:25:25.000Z","6.81","10"
"2021-09-15T15:25:25.000Z","6.85","11"
"2021-09-15T15:25:25.000Z","6.8","12"
"2021-09-15T15:25:25.000Z","6.79","13"
"2021-09-15T15:25:25.000Z","6.84","14"
"2021-09-15T15:25:25.000Z","6.88","15"
"2021-09-15T15:25:25.000Z","6.81","16"
"2021-09-15T15:25:25.000Z","6.83","17"
"2021-09-15T15:25:25.000Z","6.92","18"
"2021-09-15T15:25:25.000Z","6.97","19"
"2021-09-15T15:25:25.000Z","6.88","2"
"2021-09-15T15:25:25.000Z","6.83","20"
"2021-09-15T15:25:25.000Z","6.84","21"
"2021-09-15T15:25:25.000Z","6.9","22"
"2021-09-15T15:25:25.000Z","6.89","23"
"2021-09-15T15:25:25.000Z","6.81","24"
"2021-09-15T15:25:25.000Z","6.75","25"
"2021-09-15T15:25:25.000Z","6.84","26"
"2021-09-15T15:25:25.000Z","6.83","27"
"2021-09-15T15:25:25.000Z","6.88","28"
"2021-09-15T15:25:25.000Z","6.86","29"
"2021-09-15T15:25:25.000Z","6.89","3"
"2021-09-15T15:25:25.000Z","6.69","30"
"2021-09-15T15:25:25.000Z","6.78","31"
"2021-09-15T15:25:25.000Z","6.9","32"
"2021-09-15T15:25:25.000Z","6.93","33"
"2021-09-15T15:25:25.000Z","6.91","34"
"2021-09-15T15:25:25.000Z","6.89","35"
"2021-09-15T15:25:25.000Z","6.86","36"
"2021-09-15T15:25:25.000Z","6.81","37"
"2021-09-15T15:25:25.000Z","6.91","38"
"2021-09-15T15:25:25.000Z","6.85","39"
"2021-09-15T15:25:25.000Z","6.8","4"
"2021-09-15T15:25:25.000Z","6.66","40"
"2021-09-15T15:25:25.000Z","6.38","41"
"2021-09-15T15:25:25.000Z","6.72","42"
"2021-09-15T15:25:25.000Z","6.65","43"
"2021-09-15T15:25:25.000Z","6.47","44"
"2021-09-15T15:25:25.000Z","6.4","45"
"2021-09-15T15:25:25.000Z","6.52","46"
"2021-09-15T15:25:25.000Z","6.45","47"
"2021-09-15T15:25:25.000Z","6.77","5"
"2021-09-15T15:25:25.000Z","6.85","6"
"2021-09-15T15:25:25.000Z","6.85","7"
"2021-09-15T15:25:25.000Z","6.84","8"
"2021-09-15T15:25:25.000Z","6.89","9"
"2021-09-15T15:26:25.000Z","6.82","0"
"2021-09-15T15:26:25.000Z","6.85","1"
"2021-09-15T15:26:25.000Z","6.85","10"
"2021-09-15T15:26:25.000Z","6.89","11"
"2021-09-15T15:26:25.000Z","6.85","12"
"2021-09-15T15:26:25.000Z","6.83","13"
"2021-09-15T15:26:25.000Z","6.88","14"
"2021-09-15T15:26:25.000Z","6.93","15"
"2021-09-15T15:26:25.000Z","6.87","16"
"2021-09-15T15:26:25.000Z","6.89","17"
"2021-09-15T15:26:25.000Z","6.97","18"
"2021-09-15T15:26:25.000Z","7.02","19"
"2021-09-15T15:26:25.000Z","6.93","2"
"2021-09-15T15:26:25.000Z","6.88","20"
"2021-09-15T15:26:25.000Z","6.89","21"
"2021-09-15T15:26:25.000Z","6.94","22"
"2021-09-15T15:26:25.000Z","6.94","23"
"2021-09-15T15:26:25.000Z","6.88","24"
"2021-09-15T15:26:25.000Z","6.81","25"
"2021-09-15T15:26:25.000Z","6.91","26"
"2021-09-15T15:26:25.000Z","6.88","27"
"2021-09-15T15:26:25.000Z","6.94","28"
"2021-09-15T15:26:25.000Z","6.92","29"
"2021-09-15T15:26:25.000Z","6.94","3"
"2021-09-15T15:26:25.000Z","6.75","30"
"2021-09-15T15:26:25.000Z","6.83","31"
"2021-09-15T15:26:25.000Z","6.97","32"
"2021-09-15T15:26:25.000Z","7.02","33"
"2021-09-15T15:26:25.000Z","6.99","34"
"2021-09-15T15:26:25.000Z","6.97","35"
"2021-09-15T15:26:25.000Z","6.94","36"
"2021-09-15T15:26:25.000Z","6.91","37"
"2021-09-15T15:26:25.000Z","6.98","38"
"2021-09-15T15:26:25.000Z","6.91","39"
"2021-09-15T15:26:25.000Z","6.85","4"
"2021-09-15T15:26:25.000Z","6.82","40"
"2021-09-15T15:26:25.000Z","6.58","41"
"2021-09-15T15:26:25.000Z","6.86","42"
"2021-09-15T15:26:25.000Z","6.81","43"
"2021-09-15T15:26:25.000Z","6.65","44"
"2021-09-15T15:26:25.000Z","6.59","45"
"2021-09-15T15:26:25.000Z","6.69","46"
"2021-09-15T15:26:25.000Z","6.63","47"
"2021-09-15T15:26:25.000Z","6.82","5"
"2021-09-15T15:26:25.000Z","6.9","6"
"2021-09-15T15:26:25.000Z","6.89","7"
"2021-09-15T15:26:25.000Z","6.88","8"
"2021-09-15T15:26:25.000Z","6.94","9"
"2021-09-15T15:27:26.000Z","6.84","0"
"2021-09-15T15:27:26.000Z","6.87","1"
"2021-09-15T15:27:26.000Z","6.88","10"
"2021-09-15T15:27:26.000Z","6.92","11"
"2021-09-15T15:27:26.000Z","6.88","12"
"2021-09-15T15:27:26.000Z","6.86","13"
"2021-09-15T15:27:26.000Z","6.91","14"
"2021-09-15T15:27:26.000Z","6.95","15"
"2021-09-15T15:27:26.000Z","6.9","16"
"2021-09-15T15:27:26.000Z","6.93","17"
"2021-09-15T15:27:26.000Z","7","18"
"2021-09-15T15:27:26.000Z","7.06","19"
"2021-09-15T15:27:26.000Z","6.96","2"
"2021-09-15T15:27:26.000Z","6.9","20"
"2021-09-15T15:27:26.000Z","6.93","21"
"2021-09-15T15:27:26.000Z","6.96","22"
"2021-09-15T15:27:26.000Z","6.97","23"
"2021-09-15T15:27:26.000Z","6.92","24"
"2021-09-15T15:27:26.000Z","6.84","25"
"2021-09-15T15:27:26.000Z","6.95","26"
"2021-09-15T15:27:26.000Z","6.92","27"
"2021-09-15T15:27:26.000Z","6.97","28"
"2021-09-15T15:27:26.000Z","6.95","29"
"2021-09-15T15:27:26.000Z","6.96","3"
"2021-09-15T15:27:26.000Z","6.8","30"
"2021-09-15T15:27:26.000Z","6.86","31"
"2021-09-15T15:27:26.000Z","7","32"
"2021-09-15T15:27:26.000Z","7.06","33"
"2021-09-15T15:27:26.000Z","7.03","34"
"2021-09-15T15:27:26.000Z","7.01","35"
"2021-09-15T15:27:26.000Z","6.99","36"
