"time","Presens_data.O2_value","position"
"2021-09-15T15:26:25.000Z","2","28"
"2021-09-15T15:26:25.000Z","0","29"
"2021-09-15T15:26:25.000Z","0.68","3"
"2021-09-15T15:26:25.000Z","0","30"
"2021-09-15T15:26:25.000Z","0","31"
"2021-09-15T15:26:25.000Z","14.96","32"
"2021-09-15T15:26:25.000Z","10.07","33"
"2021-09-15T15:26:25.000Z","9","34"
"2021-09-15T15:26:25.000Z","4.36","35"
"2021-09-15T15:26:25.000Z","2.59","36"
"2021-09-15T15:26:25.000Z","1.21","37"
"2021-09-15T15:26:25.000Z","0.32","38"
"2021-09-15T15:26:25.000Z","0.17","39"
"2021-09-15T15:26:25.000Z","0","4"
"2021-09-15T15:26:25.000Z","17.46","40"
"2021-09-15T15:26:25.000Z","13.56","41"
"2021-09-15T15:26:25.000Z","10.83","42"
"2021-09-15T15:26:25.000Z","7.28","43"
"2021-09-15T15:26:25.000Z","5.06","44"
"2021-09-15T15:26:25.000Z","3.37","45"
"2021-09-15T15:26:25.000Z","2.96","46"
"2021-09-15T15:26:25.000Z","2.45","47"
"2021-09-15T15:26:25.000Z","0","5"
"2021-09-15T15:26:25.000Z","0","6"
"2021-09-15T15:26:25.000Z","0","7"
"2021-09-15T15:26:25.000Z","8.21","8"
"2021-09-15T15:26:25.000Z","6.44","9"
"2021-09-15T15:27:26.000Z","65.98","0"
"2021-09-15T15:27:26.000Z","60.88","1"
"2021-09-15T15:27:26.000Z","62.71","10"
"2021-09-15T15:27:26.000Z","64.62","11"
"2021-09-15T15:27:26.000Z","61.6","12"
"2021-09-15T15:27:26.000Z","62.97","13"
"2021-09-15T15:27:26.000Z","63.13","14"
"2021-09-15T15:27:26.000Z","62.09","15"
"2021-09-15T15:27:26.000Z","67.85","16"
"2021-09-15T15:27:26.000Z","68.7","17"
"2021-09-15T15:27:26.000Z","67.53","18"
"2021-09-15T15:27:26.000Z","68.44","19"
"2021-09-15T15:27:26.000Z","62.64","2"
"2021-09-15T15:27:26.000Z","68.98","20"
"2021-09-15T15:27:26.000Z","66.72","21"
"2021-09-15T15:27:26.000Z","52.64","22"
"2021-09-15T15:27:26.000Z","64.83","23"
"2021-09-15T15:27:26.000Z","71.55","24"
"2021-09-15T15:27:26.000Z","68.43","25"
"2021-09-15T15:27:26.000Z","73.73","26"
"2021-09-15T15:27:26.000Z","71.78","27"
"2021-09-15T15:27:26.000Z","73.3","28"
"2021-09-15T15:27:26.000Z","71.68","29"
"2021-09-15T15:27:26.000Z","62.8","3"
"2021-09-15T15:27:26.000Z","69.29","30"
"2021-09-15T15:27:26.000Z","68.94","31"
"2021-09-15T15:27:26.000Z","79.99","32"
"2021-09-15T15:27:26.000Z","75.58","33"
"2021-09-15T15:27:26.000Z","82.82","34"
"2021-09-15T15:27:26.000Z","72.68","35"
"2021-09-15T15:27:26.000Z","77.03","36"
"2021-09-15T15:27:26.000Z","75.51","37"
"2021-09-15T15:27:26.000Z","73.14","38"
"2021-09-15T15:27:26.000Z","73.22","39"
"2021-09-15T15:27:26.000Z","61.32","4"
"2021-09-15T15:27:26.000Z","78.64","40"
"2021-09-15T15:27:26.000Z","75.89","41"
"2021-09-15T15:27:26.000Z","77.95","42"
"2021-09-15T15:27:26.000Z","78.4","43"
"2021-09-15T15:27:26.000Z","72.68","44"
"2021-09-15T15:27:26.000Z","78.42","45"
"2021-09-15T15:27:26.000Z","75.13","46"
"2021-09-15T15:27:26.000Z","75.74","47"
"2021-09-15T15:27:26.000Z","65.91","5"
"2021-09-15T15:27:26.000Z","63.15","6"
"2021-09-15T15:27:26.000Z","64.88","7"
"2021-09-15T15:27:26.000Z","63.68","8"
"2021-09-15T15:27:26.000Z","64.54","9"
"2021-09-15T15:28:27.000Z","79.41","0"
"2021-09-15T15:28:27.000Z","74.84","1"
"2021-09-15T15:28:27.000Z","77.61","10"
"2021-09-15T15:28:27.000Z","78.34","11"
"2021-09-15T15:28:27.000Z","76.32","12"
"2021-09-15T15:28:27.000Z","77.39","13"
