"time","Position","Readerdata.Value"
"2021-09-15T16:49:51.000Z","A9","0.2"
"2021-09-15T16:49:51.000Z","B1","1.182"
"2021-09-15T16:49:51.000Z","B10","0.211"
"2021-09-15T16:49:51.000Z","B11","0.188"
"2021-09-15T16:49:51.000Z","B12","0.213"
"2021-09-15T16:49:51.000Z","B2","1.186"
"2021-09-15T16:49:51.000Z","B3","1.133"
"2021-09-15T16:49:51.000Z","B4","1.136"
"2021-09-15T16:49:51.000Z","B5","1.117"
"2021-09-15T16:49:51.000Z","B6","1.225"
"2021-09-15T16:49:51.000Z","B7","0.22"
"2021-09-15T16:49:51.000Z","B8","0.205"
"2021-09-15T16:49:51.000Z","B9","0.193"
"2021-09-15T16:49:51.000Z","C1","1.12"
"2021-09-15T16:49:51.000Z","C10","0.197"
"2021-09-15T16:49:51.000Z","C11","0.188"
"2021-09-15T16:49:51.000Z","C12","0.215"
"2021-09-15T16:49:51.000Z","C2","1.13"
"2021-09-15T16:49:51.000Z","C3","1.101"
"2021-09-15T16:49:51.000Z","C4","1.129"
"2021-09-15T16:49:51.000Z","C5","1.123"
"2021-09-15T16:49:51.000Z","C6","1.108"
"2021-09-15T16:49:51.000Z","C7","0.214"
"2021-09-15T16:49:51.000Z","C8","0.202"
"2021-09-15T16:49:51.000Z","C9","0.19"
"2021-09-15T16:49:51.000Z","D1","1.119"
"2021-09-15T16:49:51.000Z","D10","0.211"
"2021-09-15T16:49:51.000Z","D11","0.186"
"2021-09-15T16:49:51.000Z","D12","0.189"
"2021-09-15T16:49:51.000Z","D2","1.162"
"2021-09-15T16:49:51.000Z","D3","1.133"
"2021-09-15T16:49:51.000Z","D4","1.192"
"2021-09-15T16:49:51.000Z","D5","1.094"
"2021-09-15T16:49:51.000Z","D6","1.136"
"2021-09-15T16:49:51.000Z","D7","0.219"
"2021-09-15T16:49:51.000Z","D8","0.201"
"2021-09-15T16:49:51.000Z","D9","0.192"
"2021-09-15T16:49:51.000Z","E1","1.141"
"2021-09-15T16:49:51.000Z","E10","0.199"
"2021-09-15T16:49:51.000Z","E11","0.203"
"2021-09-15T16:49:51.000Z","E12","0.201"
"2021-09-15T16:49:51.000Z","E2","1.109"
"2021-09-15T16:49:51.000Z","E3","1.104"
"2021-09-15T16:49:51.000Z","E4","1.121"
"2021-09-15T16:49:51.000Z","E5","1.133"
"2021-09-15T16:49:51.000Z","E6","1.155"
"2021-09-15T16:49:51.000Z","E7","0.227"
"2021-09-15T16:49:51.000Z","E8","0.191"
"2021-09-15T16:49:51.000Z","E9","0.194"
"2021-09-15T16:49:51.000Z","F1","1.144"
"2021-09-15T16:49:51.000Z","F10","0.232"
"2021-09-15T16:49:51.000Z","F11","0.198"
"2021-09-15T16:49:51.000Z","F12","0.19"
"2021-09-15T16:49:51.000Z","F2","1.149"
"2021-09-15T16:49:51.000Z","F3","1.114"
"2021-09-15T16:49:51.000Z","F4","1.102"
"2021-09-15T16:49:51.000Z","F5","1.122"
"2021-09-15T16:49:51.000Z","F6","1.118"
"2021-09-15T16:49:51.000Z","F7","0.212"
"2021-09-15T16:49:51.000Z","F8","0.198"
"2021-09-15T16:49:51.000Z","F9","0.181"
"2021-09-15T16:49:51.000Z","G1","1.169"
"2021-09-15T16:49:51.000Z","G10","0.194"
"2021-09-15T16:49:51.000Z","G11","0.21"
"2021-09-15T16:49:51.000Z","G12","0.2"
"2021-09-15T16:49:51.000Z","G2","1.147"
"2021-09-15T16:49:51.000Z","G3","1.15"
"2021-09-15T16:49:51.000Z","G4","1.123"
"2021-09-15T16:49:51.000Z","G5","1.117"
"2021-09-15T16:49:51.000Z","G6","1.124"
"2021-09-15T16:49:51.000Z","G7","0.214"
"2021-09-15T16:49:51.000Z","G8","0.208"
"2021-09-15T16:49:51.000Z","G9","0.2"
"2021-09-15T16:49:51.000Z","H1","1.153"
"2021-09-15T16:49:51.000Z","H10","0.189"
"2021-09-15T16:49:51.000Z","H11","0.187"
"2021-09-15T16:49:51.000Z","H12","0.182"
"2021-09-15T16:49:51.000Z","H2","1.167"
"2021-09-15T16:49:51.000Z","H3","1.156"
"2021-09-15T16:49:51.000Z","H4","1.123"
"2021-09-15T16:49:51.000Z","H5","1.1"
"2021-09-15T16:49:51.000Z","H6","1.123"
"2021-09-15T16:49:51.000Z","H7","0.193"
"2021-09-15T16:49:51.000Z","H8","0.205"
"2021-09-15T16:49:51.000Z","H9","0.199"
"2021-09-15T17:34:18.000Z","A1","1.214"
"2021-09-15T17:34:18.000Z","A10","0.25"
"2021-09-15T17:34:18.000Z","A11","0.202"
"2021-09-15T17:34:18.000Z","A12","0.208"
"2021-09-15T17:34:18.000Z","A2","1.245"
"2021-09-15T17:34:18.000Z","A3","1.175"
"2021-09-15T17:34:18.000Z","A4","1.233"
"2021-09-15T17:34:18.000Z","A5","1.158"
"2021-09-15T17:34:18.000Z","A6","1.156"
"2021-09-15T17:34:18.000Z","A7","0.228"
"2021-09-15T17:34:18.000Z","A8","0.229"
"2021-09-15T17:34:18.000Z","A9","0.209"
"2021-09-15T17:34:18.000Z","B1","1.167"
"2021-09-15T17:34:18.000Z","B10","0.22"
"2021-09-15T17:34:18.000Z","B11","0.233"
"2021-09-15T17:34:18.000Z","B12","0.198"
"2021-09-15T17:34:18.000Z","B2","1.239"
"2021-09-15T17:34:18.000Z","B3","1.192"
"2021-09-15T17:34:18.000Z","B4","1.256"
"2021-09-15T17:34:18.000Z","B5","1.167"
"2021-09-15T17:34:18.000Z","B6","1.18"
"2021-09-15T17:34:18.000Z","B7","0.194"
"2021-09-15T17:34:18.000Z","B8","0.224"
"2021-09-15T17:34:18.000Z","B9","0.198"
"2021-09-15T17:34:18.000Z","C1","1.156"
"2021-09-15T17:34:18.000Z","C10","0.215"
"2021-09-15T17:34:18.000Z","C11","0.202"
"2021-09-15T17:34:18.000Z","C12","0.188"
"2021-09-15T17:34:18.000Z","C2","1.191"
"2021-09-15T17:34:18.000Z","C3","1.181"
"2021-09-15T17:34:18.000Z","C4","1.237"
"2021-09-15T17:34:18.000Z","C5","1.193"
"2021-09-15T17:34:18.000Z","C6","1.061"
"2021-09-15T17:34:18.000Z","C7","0.22"
"2021-09-15T17:34:18.000Z","C8","0.226"
"2021-09-15T17:34:18.000Z","C9","0.216"
"2021-09-15T17:34:18.000Z","D1","1.221"
"2021-09-15T17:34:18.000Z","D10","0.206"
"2021-09-15T17:34:18.000Z","D11","0.199"
"2021-09-15T17:34:18.000Z","D12","0.198"
"2021-09-15T17:34:18.000Z","D2","1.195"
"2021-09-15T17:34:18.000Z","D3","1.187"
"2021-09-15T17:34:18.000Z","D4","1.176"
"2021-09-15T17:34:18.000Z","D5","1.197"
"2021-09-15T17:34:18.000Z","D6","1.195"
"2021-09-15T17:34:18.000Z","D7","0.223"
"2021-09-15T17:34:18.000Z","D8","0.209"
"2021-09-15T17:34:18.000Z","D9","0.197"
"2021-09-15T17:34:18.000Z","E1","1.194"
"2021-09-15T17:34:18.000Z","E10","0.222"
"2021-09-15T17:34:18.000Z","E11","0.248"
"2021-09-15T17:34:18.000Z","E12","0.241"
"2021-09-15T17:34:18.000Z","E2","1.159"
"2021-09-15T17:34:18.000Z","E3","1.192"
"2021-09-15T17:34:18.000Z","E4","1.26"
"2021-09-15T17:34:18.000Z","E5","1.277"
"2021-09-15T17:34:18.000Z","E6","1.292"
"2021-09-15T17:34:18.000Z","E7","0.227"
"2021-09-15T17:34:18.000Z","E8","0.211"
"2021-09-15T17:34:18.000Z","E9","0.216"
"2021-09-15T17:34:18.000Z","F1","1.149"
"2021-09-15T17:34:18.000Z","F10","0.199"
"2021-09-15T17:34:18.000Z","F11","0.203"
"2021-09-15T17:34:18.000Z","F12","0.216"
"2021-09-15T17:34:18.000Z","F2","1.214"
"2021-09-15T17:34:18.000Z","F3","1.172"
"2021-09-15T17:34:18.000Z","F4","1.21"
"2021-09-15T17:34:18.000Z","F5","1.192"
"2021-09-15T17:34:18.000Z","F6","1.179"
"2021-09-15T17:34:18.000Z","F7","0.207"
"2021-09-15T17:34:18.000Z","F8","0.231"
"2021-09-15T17:34:18.000Z","F9","0.212"
"2021-09-15T17:34:18.000Z","G1","1.242"
"2021-09-15T17:34:18.000Z","G10","0.226"
"2021-09-15T17:34:18.000Z","G11","0.214"
"2021-09-15T17:34:18.000Z","G12","0.213"
"2021-09-15T17:34:18.000Z","G2","1.229"
"2021-09-15T17:34:18.000Z","G3","1.229"
"2021-09-15T17:34:18.000Z","G4","1.275"
"2021-09-15T17:34:18.000Z","G5","1.21"
"2021-09-15T17:34:18.000Z","G6","1.193"
"2021-09-15T17:34:18.000Z","G7","0.232"
"2021-09-15T17:34:18.000Z","G8","0.209"
"2021-09-15T17:34:18.000Z","G9","0.22"
"2021-09-15T17:34:18.000Z","H1","1.173"
"2021-09-15T17:34:18.000Z","H10","0.214"
"2021-09-15T17:34:18.000Z","H11","0.187"
"2021-09-15T17:34:18.000Z","H12","0.2"
"2021-09-15T17:34:18.000Z","H2","1.249"
"2021-09-15T17:34:18.000Z","H3","1.152"
"2021-09-15T17:34:18.000Z","H4","1.147"
"2021-09-15T17:34:18.000Z","H5","1.139"
"2021-09-15T17:34:18.000Z","H6","1.159"
"2021-09-15T17:34:18.000Z","H7","0.191"
"2021-09-15T17:34:18.000Z","H8","0.222"
"2021-09-15T17:34:18.000Z","H9","0.195"
"2021-09-15T18:34:42.000Z","A1","1.191"
"2021-09-15T18:34:42.000Z","A10","0.226"
"2021-09-15T18:34:42.000Z","A11","0.252"
"2021-09-15T18:34:42.000Z","A12","0.272"
"2021-09-15T18:34:42.000Z","A2","1.207"
"2021-09-15T18:34:42.000Z","A3","1.214"
"2021-09-15T18:34:42.000Z","A4","1.193"
"2021-09-15T18:34:42.000Z","A5","1.306"
"2021-09-15T18:34:42.000Z","A6","1.283"
