"time","Presens_data.O2_value","position"
"2021-09-22T15:26:13.000Z","81.01","0"
"2021-09-22T15:26:13.000Z","80.59","1"
"2021-09-22T15:26:13.000Z","85.01","10"
"2021-09-22T15:26:13.000Z","82.72","11"
"2021-09-22T15:26:13.000Z","84.01","12"
"2021-09-22T15:26:13.000Z","83.24","13"
"2021-09-22T15:26:13.000Z","82.03","14"
"2021-09-22T15:26:13.000Z","0","15"
"2021-09-22T15:26:13.000Z","87.4","16"
"2021-09-22T15:26:13.000Z","86.19","17"
"2021-09-22T15:26:13.000Z","85.01","18"
"2021-09-22T15:26:13.000Z","86.21","19"
"2021-09-22T15:26:13.000Z","80.82","2"
"2021-09-22T15:26:13.000Z","89.57","20"
"2021-09-22T15:26:13.000Z","86.42","21"
"2021-09-22T15:26:13.000Z","83.99","22"
"2021-09-22T15:26:13.000Z","0","23"
"2021-09-22T15:26:13.000Z","87.91","24"
"2021-09-22T15:26:13.000Z","86.95","25"
"2021-09-22T15:26:13.000Z","88.63","26"
"2021-09-22T15:26:13.000Z","87.78","27"
"2021-09-22T15:26:13.000Z","90.29","28"
"2021-09-22T15:26:13.000Z","87.97","29"
"2021-09-22T15:26:13.000Z","81.16","3"
"2021-09-22T15:26:13.000Z","87.84","30"
"2021-09-22T15:26:13.000Z","0","31"
"2021-09-22T15:26:13.000Z","90.36","32"
"2021-09-22T15:26:13.000Z","89.97","33"
"2021-09-22T15:26:13.000Z","89.52","34"
"2021-09-22T15:26:13.000Z","89.53","35"
"2021-09-22T15:26:13.000Z","90.2","36"
"2021-09-22T15:26:13.000Z","90.18","37"
"2021-09-22T15:26:13.000Z","90.93","38"
"2021-09-22T15:26:13.000Z","0","39"
"2021-09-22T15:26:13.000Z","81","4"
"2021-09-22T15:26:13.000Z","92.6","40"
"2021-09-22T15:26:13.000Z","90.21","41"
"2021-09-22T15:26:13.000Z","90.77","42"
"2021-09-22T15:26:13.000Z","91.65","43"
"2021-09-22T15:26:13.000Z","90.07","44"
"2021-09-22T15:26:13.000Z","90.97","45"
"2021-09-22T15:26:13.000Z","90.97","46"
"2021-09-22T15:26:13.000Z","0","47"
"2021-09-22T15:26:13.000Z","83.27","5"
"2021-09-22T15:26:13.000Z","79.75","6"
"2021-09-22T15:26:13.000Z","0","7"
