"time","Presens_data.pH_value","position"
"2021-09-22T15:26:13.000Z","7","0"
"2021-09-22T15:26:13.000Z","6.94","1"
"2021-09-22T15:26:13.000Z","6.93","10"
"2021-09-22T15:26:13.000Z","6.91","11"
"2021-09-22T15:26:13.000Z","6.93","12"
"2021-09-22T15:26:13.000Z","6.91","13"
"2021-09-22T15:26:13.000Z","6.94","14"
"2021-09-22T15:26:13.000Z","6.98","15"
"2021-09-22T15:26:13.000Z","7.05","16"
"2021-09-22T15:26:13.000Z","7.11","17"
"2021-09-22T15:26:13.000Z","6.99","18"
"2021-09-22T15:26:13.000Z","6.99","19"
"2021-09-22T15:26:13.000Z","7.01","2"
"2021-09-22T15:26:13.000Z","6.96","20"
"2021-09-22T15:26:13.000Z","7","21"
"2021-09-22T15:26:13.000Z","7.04","22"
"2021-09-22T15:26:13.000Z","7.02","23"
"2021-09-22T15:26:13.000Z","7.05","24"
"2021-09-22T15:26:13.000Z","6.97","25"
"2021-09-22T15:26:13.000Z","7.01","26"
"2021-09-22T15:26:13.000Z","7.04","27"
"2021-09-22T15:26:13.000Z","7.03","28"
"2021-09-22T15:26:13.000Z","7.02","29"
"2021-09-22T15:26:13.000Z","7.04","3"
"2021-09-22T15:26:13.000Z","6.93","30"
"2021-09-22T15:26:13.000Z","6.98","31"
"2021-09-22T15:26:13.000Z","6.92","32"
"2021-09-22T15:26:13.000Z","7.02","33"
"2021-09-22T15:26:13.000Z","6.96","34"
"2021-09-22T15:26:13.000Z","7.06","35"
"2021-09-22T15:26:13.000Z","6.99","36"
"2021-09-22T15:26:13.000Z","6.99","37"
"2021-09-22T15:26:13.000Z","7.06","38"
"2021-09-22T15:26:13.000Z","6.95","39"
"2021-09-22T15:26:13.000Z","7.06","4"
"2021-09-22T15:26:13.000Z","6.84","40"
"2021-09-22T15:26:13.000Z","6.77","41"
"2021-09-22T15:26:13.000Z","6.83","42"
"2021-09-22T15:26:13.000Z","6.65","43"
"2021-09-22T15:26:13.000Z","6.92","44"
"2021-09-22T15:26:13.000Z","6.85","45"
"2021-09-22T15:26:13.000Z","6.78","46"
"2021-09-22T15:26:13.000Z","7.01","47"
"2021-09-22T15:26:13.000Z","7","5"
"2021-09-22T15:26:13.000Z","6.91","6"
"2021-09-22T15:26:13.000Z","6.93","7"
"2021-09-22T15:26:13.000Z","6.92","8"
"2021-09-22T15:26:13.000Z","6.97","9"
"2021-09-22T15:27:14.000Z","7.01","0"
"2021-09-22T15:27:14.000Z","6.95","1"
"2021-09-22T15:27:14.000Z","6.94","10"
"2021-09-22T15:27:14.000Z","6.92","11"
"2021-09-22T15:27:14.000Z","6.94","12"
"2021-09-22T15:27:14.000Z","6.92","13"
"2021-09-22T15:27:14.000Z","6.95","14"
"2021-09-22T15:27:14.000Z","6.99","15"
"2021-09-22T15:27:14.000Z","7.06","16"
"2021-09-22T15:27:14.000Z","7.11","17"
"2021-09-22T15:27:14.000Z","7","18"
"2021-09-22T15:27:14.000Z","7","19"
"2021-09-22T15:27:14.000Z","7.02","2"
"2021-09-22T15:27:14.000Z","6.97","20"
"2021-09-22T15:27:14.000Z","7","21"
"2021-09-22T15:27:14.000Z","7.05","22"
"2021-09-22T15:27:14.000Z","7.03","23"
"2021-09-22T15:27:14.000Z","7.06","24"
"2021-09-22T15:27:14.000Z","6.99","25"
"2021-09-22T15:27:14.000Z","7.03","26"
"2021-09-22T15:27:14.000Z","7.05","27"
"2021-09-22T15:27:14.000Z","7.04","28"
"2021-09-22T15:27:14.000Z","7.03","29"
"2021-09-22T15:27:14.000Z","7.04","3"
"2021-09-22T15:27:14.000Z","6.95","30"
"2021-09-22T15:27:14.000Z","6.99","31"
"2021-09-22T15:27:14.000Z","6.95","32"
"2021-09-22T15:27:14.000Z","7.04","33"
"2021-09-22T15:27:14.000Z","6.99","34"
"2021-09-22T15:27:14.000Z","7.07","35"
"2021-09-22T15:27:14.000Z","7","36"
"2021-09-22T15:27:14.000Z","7","37"
"2021-09-22T15:27:14.000Z","7.07","38"
"2021-09-22T15:27:14.000Z","6.97","39"
"2021-09-22T15:27:14.000Z","7.07","4"
"2021-09-22T15:27:14.000Z","6.9","40"
"2021-09-22T15:27:14.000Z","6.86","41"
"2021-09-22T15:27:14.000Z","6.9","42"
"2021-09-22T15:27:14.000Z","6.75","43"
"2021-09-22T15:27:14.000Z","6.98","44"
"2021-09-22T15:27:14.000Z","6.93","45"
"2021-09-22T15:27:14.000Z","6.87","46"
"2021-09-22T15:27:14.000Z","7.03","47"
"2021-09-22T15:27:14.000Z","7","5"
"2021-09-22T15:27:14.000Z","6.92","6"
"2021-09-22T15:27:14.000Z","6.94","7"
"2021-09-22T15:27:14.000Z","6.93","8"
"2021-09-22T15:27:14.000Z","6.97","9"
"2021-09-22T15:28:15.000Z","7.01","0"
"2021-09-22T15:28:15.000Z","6.96","1"
"2021-09-22T15:28:15.000Z","6.94","10"
"2021-09-22T15:28:15.000Z","6.92","11"
"2021-09-22T15:28:15.000Z","6.94","12"
"2021-09-22T15:28:15.000Z","6.92","13"
"2021-09-22T15:28:15.000Z","6.95","14"
"2021-09-22T15:28:15.000Z","6.99","15"
"2021-09-22T15:28:15.000Z","7.07","16"
"2021-09-22T15:28:15.000Z","7.12","17"
"2021-09-22T15:28:15.000Z","7.01","18"
"2021-09-22T15:28:15.000Z","7","19"
"2021-09-22T15:28:15.000Z","7.03","2"
"2021-09-22T15:28:15.000Z","6.97","20"
"2021-09-22T15:28:15.000Z","7.01","21"
"2021-09-22T15:28:15.000Z","7.05","22"
"2021-09-22T15:28:15.000Z","7.03","23"
"2021-09-22T15:28:15.000Z","7.07","24"
"2021-09-22T15:28:15.000Z","6.99","25"
"2021-09-22T15:28:15.000Z","7.04","26"
"2021-09-22T15:28:15.000Z","7.06","27"
"2021-09-22T15:28:15.000Z","7.05","28"
"2021-09-22T15:28:15.000Z","7.04","29"
"2021-09-22T15:28:15.000Z","7.05","3"
"2021-09-22T15:28:15.000Z","6.96","30"
"2021-09-22T15:28:15.000Z","7","31"
"2021-09-22T15:28:15.000Z","6.97","32"
"2021-09-22T15:28:15.000Z","7.04","33"
"2021-09-22T15:28:15.000Z","7.01","34"
"2021-09-22T15:28:15.000Z","7.08","35"
"2021-09-22T15:28:15.000Z","7.01","36"
"2021-09-22T15:28:15.000Z","7.01","37"
"2021-09-22T15:28:15.000Z","7.08","38"
"2021-09-22T15:28:15.000Z","6.98","39"
"2021-09-22T15:28:15.000Z","7.07","4"
"2021-09-22T15:28:15.000Z","6.94","40"
"2021-09-22T15:28:15.000Z","6.91","41"
"2021-09-22T15:28:15.000Z","6.94","42"
"2021-09-22T15:28:15.000Z","6.83","43"
"2021-09-22T15:28:15.000Z","7","44"
"2021-09-22T15:28:15.000Z","6.97","45"
"2021-09-22T15:28:15.000Z","6.94","46"
"2021-09-22T15:28:15.000Z","7.05","47"
"2021-09-22T15:28:15.000Z","7.01","5"
"2021-09-22T15:28:15.000Z","6.93","6"
"2021-09-22T15:28:15.000Z","6.94","7"
"2021-09-22T15:28:15.000Z","6.93","8"
"2021-09-22T15:28:15.000Z","6.98","9"
"2021-09-22T15:29:15.000Z","7.02","0"
"2021-09-22T15:29:15.000Z","6.96","1"
"2021-09-22T15:29:15.000Z","6.95","10"
"2021-09-22T15:29:15.000Z","6.92","11"
"2021-09-22T15:29:15.000Z","6.95","12"
"2021-09-22T15:29:15.000Z","6.93","13"
"2021-09-22T15:29:15.000Z","6.96","14"
"2021-09-22T15:29:15.000Z","7","15"
"2021-09-22T15:29:15.000Z","7.07","16"
"2021-09-22T15:29:15.000Z","7.12","17"
"2021-09-22T15:29:15.000Z","7.01","18"
"2021-09-22T15:29:15.000Z","7.01","19"
"2021-09-22T15:29:15.000Z","7.03","2"
"2021-09-22T15:29:15.000Z","6.98","20"
"2021-09-22T15:29:15.000Z","7.01","21"
"2021-09-22T15:29:15.000Z","7.06","22"
"2021-09-22T15:29:15.000Z","7.03","23"
"2021-09-22T15:29:15.000Z","7.07","24"
