"time","Position","Readerdata.Value"
"2021-09-22T15:39:28.000Z","A1","1.093"
"2021-09-22T15:39:28.000Z","A10","0.203"
"2021-09-22T15:39:28.000Z","A11","0.219"
"2021-09-22T15:39:28.000Z","A12","0.195"
"2021-09-22T15:39:28.000Z","A2","1.155"
"2021-09-22T15:39:28.000Z","A3","1.132"
"2021-09-22T15:39:28.000Z","A4","1.086"
"2021-09-22T15:39:28.000Z","A5","1.107"
"2021-09-22T15:39:28.000Z","A6","1.107"
"2021-09-22T15:39:28.000Z","A7","0.193"
"2021-09-22T15:39:28.000Z","A8","0.197"
"2021-09-22T15:39:28.000Z","A9","0.196"
"2021-09-22T15:39:28.000Z","B1","1.123"
"2021-09-22T15:39:28.000Z","B10","0.217"
"2021-09-22T15:39:28.000Z","B11","0.197"
"2021-09-22T15:39:28.000Z","B12","0.198"
"2021-09-22T15:39:28.000Z","B2","1.166"
"2021-09-22T15:39:28.000Z","B3","1.16"
"2021-09-22T15:39:28.000Z","B4","1.223"
"2021-09-22T15:39:28.000Z","B5","1.163"
"2021-09-22T15:39:28.000Z","B6","1.15"
"2021-09-22T15:39:28.000Z","B7","0.189"
"2021-09-22T15:39:28.000Z","B8","0.23"
"2021-09-22T15:39:28.000Z","B9","0.203"
"2021-09-22T15:39:28.000Z","C1","1.103"
"2021-09-22T15:39:28.000Z","C10","0.185"
"2021-09-22T15:39:28.000Z","C11","0.202"
"2021-09-22T15:39:28.000Z","C12","0.192"
"2021-09-22T15:39:28.000Z","C2","1.175"
"2021-09-22T15:39:28.000Z","C3","1.162"
"2021-09-22T15:39:28.000Z","C4","1.123"
"2021-09-22T15:39:28.000Z","C5","1.192"
"2021-09-22T15:39:28.000Z","C6","1.148"
"2021-09-22T15:39:28.000Z","C7","0.19"
"2021-09-22T15:39:28.000Z","C8","0.213"
"2021-09-22T15:39:28.000Z","C9","0.188"
"2021-09-22T15:39:28.000Z","D1","1.12"
"2021-09-22T15:39:28.000Z","D10","0.217"
"2021-09-22T15:39:28.000Z","D11","0.208"
"2021-09-22T15:39:28.000Z","D12","0.193"
"2021-09-22T15:39:28.000Z","D2","1.144"
"2021-09-22T15:39:28.000Z","D3","1.153"
"2021-09-22T15:39:28.000Z","D4","1.167"
"2021-09-22T15:39:28.000Z","D5","1.059"
"2021-09-22T15:39:28.000Z","D6","1.161"
"2021-09-22T15:39:28.000Z","D7","0.186"
"2021-09-22T15:39:28.000Z","D8","0.203"
"2021-09-22T15:39:28.000Z","D9","0.197"
"2021-09-22T15:39:28.000Z","E1","1.154"
"2021-09-22T15:39:28.000Z","E10","0.209"
"2021-09-22T15:39:28.000Z","E11","0.215"
"2021-09-22T15:39:28.000Z","E12","0.216"
"2021-09-22T15:39:28.000Z","E2","1.202"
"2021-09-22T15:39:28.000Z","E3","1.187"
"2021-09-22T15:39:28.000Z","E4","1.187"
"2021-09-22T15:39:28.000Z","E5","1.133"
"2021-09-22T15:39:28.000Z","E6","1.153"
"2021-09-22T15:39:28.000Z","E7","0.22"
"2021-09-22T15:39:28.000Z","E8","0.201"
"2021-09-22T15:39:28.000Z","E9","0.212"
"2021-09-22T15:39:28.000Z","F1","1.135"
"2021-09-22T15:39:28.000Z","F10","0.21"
"2021-09-22T15:39:28.000Z","F11","0.186"
"2021-09-22T15:39:28.000Z","F12","0.209"
