"time","Presens_data.pH_value","position"
"2021-09-30T15:24:29.000Z","6.96","0"
"2021-09-30T15:24:29.000Z","7","1"
"2021-09-30T15:24:29.000Z","6.95","10"
"2021-09-30T15:24:29.000Z","6.91","11"
"2021-09-30T15:24:29.000Z","6.87","12"
"2021-09-30T15:24:29.000Z","6.9","13"
"2021-09-30T15:24:29.000Z","6.94","14"
"2021-09-30T15:24:29.000Z","6.86","15"
"2021-09-30T15:24:29.000Z","6.94","16"
"2021-09-30T15:24:29.000Z","6.95","17"
"2021-09-30T15:24:29.000Z","6.91","18"
"2021-09-30T15:24:29.000Z","6.98","19"
"2021-09-30T15:24:29.000Z","6.96","2"
"2021-09-30T15:24:29.000Z","6.84","20"
"2021-09-30T15:24:29.000Z","6.85","21"
"2021-09-30T15:24:29.000Z","6.95","22"
"2021-09-30T15:24:29.000Z","6.96","23"
"2021-09-30T15:24:29.000Z","6.93","24"
"2021-09-30T15:24:29.000Z","6.98","25"
"2021-09-30T15:24:29.000Z","6.86","26"
"2021-09-30T15:24:29.000Z","6.96","27"
"2021-09-30T15:24:29.000Z","6.89","28"
"2021-09-30T15:24:29.000Z","6.87","29"
"2021-09-30T15:24:29.000Z","6.94","3"
"2021-09-30T15:24:29.000Z","6.91","30"
"2021-09-30T15:24:29.000Z","6.92","31"
"2021-09-30T15:24:29.000Z","6.86","32"
"2021-09-30T15:24:29.000Z","6.73","33"
"2021-09-30T15:24:29.000Z","7","34"
"2021-09-30T15:24:29.000Z","6.9","35"
"2021-09-30T15:24:29.000Z","6.93","36"
"2021-09-30T15:24:29.000Z","6.88","37"
"2021-09-30T15:24:29.000Z","6.9","38"
"2021-09-30T15:24:29.000Z","6.82","39"
"2021-09-30T15:24:29.000Z","6.88","4"
"2021-09-30T15:24:29.000Z","6.55","40"
"2021-09-30T15:24:29.000Z","6.66","41"
"2021-09-30T15:24:29.000Z","6.65","42"
"2021-09-30T15:24:29.000Z","6.64","43"
"2021-09-30T15:24:29.000Z","6.68","44"
"2021-09-30T15:24:29.000Z","6.58","45"
"2021-09-30T15:24:29.000Z","6.53","46"
"2021-09-30T15:24:29.000Z","6.55","47"
"2021-09-30T15:24:29.000Z","6.87","5"
"2021-09-30T15:24:29.000Z","6.92","6"
"2021-09-30T15:24:29.000Z","6.91","7"
"2021-09-30T15:24:29.000Z","6.85","8"
"2021-09-30T15:24:29.000Z","6.96","9"
"2021-09-30T15:25:13.000Z","6.97","0"
"2021-09-30T15:25:13.000Z","7.02","1"
"2021-09-30T15:25:13.000Z","6.96","10"
"2021-09-30T15:25:13.000Z","6.92","11"
