"time","Presens_data.O2_value","position"
"2021-09-30T15:24:29.000Z","74.3","0"
"2021-09-30T15:24:29.000Z","72.34","1"
"2021-09-30T15:24:29.000Z","77.58","10"
"2021-09-30T15:24:29.000Z","76.01","11"
"2021-09-30T15:24:29.000Z","76.49","12"
"2021-09-30T15:24:29.000Z","76.36","13"
"2021-09-30T15:24:29.000Z","74.24","14"
"2021-09-30T15:24:29.000Z","0","15"
"2021-09-30T15:24:29.000Z","79.42","16"
"2021-09-30T15:24:29.000Z","79.48","17"
"2021-09-30T15:24:29.000Z","78.43","18"
"2021-09-30T15:24:29.000Z","78.5","19"
"2021-09-30T15:24:29.000Z","75.78","2"
"2021-09-30T15:24:29.000Z","80.37","20"
"2021-09-30T15:24:29.000Z","75.56","21"
"2021-09-30T15:24:29.000Z","78.02","22"
"2021-09-30T15:24:29.000Z","0","23"
"2021-09-30T15:24:29.000Z","84.07","24"
"2021-09-30T15:24:29.000Z","82.84","25"
"2021-09-30T15:24:29.000Z","82.06","26"
"2021-09-30T15:24:29.000Z","80.81","27"
"2021-09-30T15:24:29.000Z","81.92","28"
"2021-09-30T15:24:29.000Z","81.24","29"
"2021-09-30T15:24:29.000Z","73.44","3"
"2021-09-30T15:24:29.000Z","80.87","30"
"2021-09-30T15:24:29.000Z","0","31"
"2021-09-30T15:24:29.000Z","84.62","32"
"2021-09-30T15:24:29.000Z","83.29","33"
"2021-09-30T15:24:29.000Z","86.11","34"
"2021-09-30T15:24:29.000Z","84.92","35"
"2021-09-30T15:24:29.000Z","88.07","36"
"2021-09-30T15:24:29.000Z","74.98","37"
"2021-09-30T15:24:29.000Z","83.26","38"
"2021-09-30T15:24:29.000Z","0","39"
"2021-09-30T15:24:29.000Z","70.26","4"
"2021-09-30T15:24:29.000Z","87.44","40"
"2021-09-30T15:24:29.000Z","85.77","41"
"2021-09-30T15:24:29.000Z","87.67","42"
"2021-09-30T15:24:29.000Z","89.9","43"
"2021-09-30T15:24:29.000Z","85.86","44"
"2021-09-30T15:24:29.000Z","86.84","45"
"2021-09-30T15:24:29.000Z","87.63","46"
"2021-09-30T15:24:29.000Z","0","47"
"2021-09-30T15:24:29.000Z","74.65","5"
"2021-09-30T15:24:29.000Z","70.84","6"
"2021-09-30T15:24:29.000Z","0","7"
"2021-09-30T15:24:29.000Z","77.46","8"
"2021-09-30T15:24:29.000Z","77.35","9"
"2021-09-30T15:25:13.000Z","81.51","0"
"2021-09-30T15:25:13.000Z","79.45","1"
"2021-09-30T15:25:13.000Z","82.58","10"
"2021-09-30T15:25:13.000Z","81.59","11"
"2021-09-30T15:25:13.000Z","81.77","12"
"2021-09-30T15:25:13.000Z","81.86","13"
"2021-09-30T15:25:13.000Z","80.68","14"
"2021-09-30T15:25:13.000Z","78.96","15"
"2021-09-30T15:25:13.000Z","83.65","16"
"2021-09-30T15:25:13.000Z","83.7","17"
"2021-09-30T15:25:13.000Z","83.32","18"
"2021-09-30T15:25:13.000Z","83.29","19"
"2021-09-30T15:25:13.000Z","82.37","2"
"2021-09-30T15:25:13.000Z","84.56","20"
"2021-09-30T15:25:13.000Z","81.27","21"
"2021-09-30T15:25:13.000Z","82.93","22"
"2021-09-30T15:25:13.000Z","83.54","23"
"2021-09-30T15:25:13.000Z","88.06","24"
"2021-09-30T15:25:13.000Z","87.23","25"
"2021-09-30T15:25:13.000Z","86.46","26"
"2021-09-30T15:25:13.000Z","85.28","27"
"2021-09-30T15:25:13.000Z","86.1","28"
"2021-09-30T15:25:13.000Z","85.51","29"
"2021-09-30T15:25:13.000Z","80.68","3"
"2021-09-30T15:25:13.000Z","85.39","30"
"2021-09-30T15:25:13.000Z","83.79","31"
"2021-09-30T15:25:13.000Z","89.17","32"
"2021-09-30T15:25:13.000Z","87.65","33"
"2021-09-30T15:25:13.000Z","90.28","34"
"2021-09-30T15:25:13.000Z","89.17","35"
"2021-09-30T15:25:13.000Z","91.66","36"
