"time","Position","Readerdata.Value"
"2021-10-14T15:37:18.000Z","A1","1.129"
"2021-10-14T15:37:18.000Z","A10","0.212"
"2021-10-14T15:37:18.000Z","A11","0.21"
"2021-10-14T15:37:18.000Z","A12","0.2"
"2021-10-14T15:37:18.000Z","A2","1.147"
"2021-10-14T15:37:18.000Z","A3","1.161"
"2021-10-14T15:37:18.000Z","A4","1.144"
"2021-10-14T15:37:18.000Z","A5","1.158"
"2021-10-14T15:37:18.000Z","A6","1.141"
"2021-10-14T15:37:18.000Z","A7","0.216"
"2021-10-14T15:37:18.000Z","A8","0.199"
"2021-10-14T15:37:18.000Z","A9","0.209"
"2021-10-14T15:37:18.000Z","B1","1.135"
"2021-10-14T15:37:18.000Z","B10","0.204"
"2021-10-14T15:37:18.000Z","B11","0.197"
"2021-10-14T15:37:18.000Z","B12","0.225"
"2021-10-14T15:37:18.000Z","B2","1.149"
"2021-10-14T15:37:18.000Z","B3","1.179"
"2021-10-14T15:37:18.000Z","B4","1.169"
"2021-10-14T15:37:18.000Z","B5","1.15"
"2021-10-14T15:37:18.000Z","B6","1.188"
"2021-10-14T15:37:18.000Z","B7","0.199"
"2021-10-14T15:37:18.000Z","B8","0.19"
"2021-10-14T15:37:18.000Z","B9","0.212"
"2021-10-14T15:37:18.000Z","C1","1.128"
"2021-10-14T15:37:18.000Z","C10","0.221"
"2021-10-14T15:37:18.000Z","C11","0.202"
"2021-10-14T15:37:18.000Z","C12","0.202"
"2021-10-14T15:37:18.000Z","C2","1.134"
"2021-10-14T15:37:18.000Z","C3","1.183"
"2021-10-14T15:37:18.000Z","C4","1.144"
"2021-10-14T15:37:18.000Z","C5","1.205"
"2021-10-14T15:37:18.000Z","C6","1.15"
"2021-10-14T15:37:18.000Z","C7","0.198"
"2021-10-14T15:37:18.000Z","C8","0.198"
"2021-10-14T15:37:18.000Z","C9","0.202"
"2021-10-14T15:37:18.000Z","D1","1.16"
"2021-10-14T15:37:18.000Z","D10","0.193"
"2021-10-14T15:37:18.000Z","D11","0.203"
"2021-10-14T15:37:18.000Z","D12","0.195"
"2021-10-14T15:37:18.000Z","D2","1.136"
"2021-10-14T15:37:18.000Z","D3","1.192"
"2021-10-14T15:37:18.000Z","D4","1.15"
"2021-10-14T15:37:18.000Z","D5","1.146"
"2021-10-14T15:37:18.000Z","D6","1.189"
"2021-10-14T15:37:18.000Z","D7","0.2"
"2021-10-14T15:37:18.000Z","D8","0.216"
"2021-10-14T15:37:18.000Z","D9","0.203"
"2021-10-14T15:37:18.000Z","E1","1.171"
"2021-10-14T15:37:18.000Z","E10","0.229"
"2021-10-14T15:37:18.000Z","E11","0.202"
"2021-10-14T15:37:18.000Z","E12","0.219"
"2021-10-14T15:37:18.000Z","E2","1.223"
"2021-10-14T15:37:18.000Z","E3","1.179"
"2021-10-14T15:37:18.000Z","E4","1.183"
"2021-10-14T15:37:18.000Z","E5","1.206"
"2021-10-14T15:37:18.000Z","E6","1.192"
"2021-10-14T15:37:18.000Z","E7","0.222"
"2021-10-14T15:37:18.000Z","E8","0.207"
"2021-10-14T15:37:18.000Z","E9","0.213"
"2021-10-14T15:37:18.000Z","F1","1.128"
"2021-10-14T15:37:18.000Z","F10","0.218"
"2021-10-14T15:37:18.000Z","F11","0.197"
"2021-10-14T15:37:18.000Z","F12","0.24"
"2021-10-14T15:37:18.000Z","F2","1.202"
"2021-10-14T15:37:18.000Z","F3","1.197"
"2021-10-14T15:37:18.000Z","F4","1.156"
"2021-10-14T15:37:18.000Z","F5","1.129"
"2021-10-14T15:37:18.000Z","F6","1.171"
"2021-10-14T15:37:18.000Z","F7","0.204"
"2021-10-14T15:37:18.000Z","F8","0.202"
"2021-10-14T15:37:18.000Z","F9","0.217"
"2021-10-14T15:37:18.000Z","G1","1.185"
"2021-10-14T15:37:18.000Z","G10","0.229"
"2021-10-14T15:37:18.000Z","G11","0.205"
"2021-10-14T15:37:18.000Z","G12","0.199"
"2021-10-14T15:37:18.000Z","G2","1.162"
"2021-10-14T15:37:18.000Z","G3","1.145"
"2021-10-14T15:37:18.000Z","G4","1.152"
"2021-10-14T15:37:18.000Z","G5","1.122"
"2021-10-14T15:37:18.000Z","G6","1.183"
"2021-10-14T15:37:18.000Z","G7","0.221"
"2021-10-14T15:37:18.000Z","G8","0.206"
"2021-10-14T15:37:18.000Z","G9","0.21"
"2021-10-14T15:37:18.000Z","H1","1.108"
"2021-10-14T15:37:18.000Z","H10","0.204"
"2021-10-14T15:37:18.000Z","H11","0.206"
"2021-10-14T15:37:18.000Z","H12","0.196"
"2021-10-14T15:37:18.000Z","H2","1.147"
"2021-10-14T15:37:18.000Z","H3","1.15"
"2021-10-14T15:37:18.000Z","H4","1.163"
"2021-10-14T15:37:18.000Z","H5","1.145"
"2021-10-14T15:37:18.000Z","H6","1.143"
"2021-10-14T15:37:18.000Z","H7","0.221"
"2021-10-14T15:37:18.000Z","H8","0.218"
"2021-10-14T15:37:18.000Z","H9","0.196"
"2021-10-14T16:49:14.000Z","A1","1.159"
"2021-10-14T16:49:14.000Z","A10","0.215"
"2021-10-14T16:49:14.000Z","A11","0.208"
"2021-10-14T16:49:14.000Z","A12","0.226"
"2021-10-14T16:49:14.000Z","A2","1.137"
"2021-10-14T16:49:14.000Z","A3","1.107"
"2021-10-14T16:49:14.000Z","A4","1.127"
"2021-10-14T16:49:14.000Z","A5","1.115"
"2021-10-14T16:49:14.000Z","A6","1.207"
"2021-10-14T16:49:14.000Z","A7","0.204"
"2021-10-14T16:49:14.000Z","A8","0.208"
"2021-10-14T16:49:14.000Z","A9","0.217"
"2021-10-14T16:49:14.000Z","B1","1.143"
"2021-10-14T16:49:14.000Z","B10","0.197"
"2021-10-14T16:49:14.000Z","B11","0.218"
"2021-10-14T16:49:14.000Z","B12","0.235"
"2021-10-14T16:49:14.000Z","B2","1.109"
"2021-10-14T16:49:14.000Z","B3","1.128"
"2021-10-14T16:49:14.000Z","B4","1.144"
"2021-10-14T16:49:14.000Z","B5","1.157"
"2021-10-14T16:49:14.000Z","B6","1.252"
"2021-10-14T16:49:14.000Z","B7","0.204"
"2021-10-14T16:49:14.000Z","B8","0.205"
"2021-10-14T16:49:14.000Z","B9","0.21"
"2021-10-14T16:49:14.000Z","C1","1.149"
"2021-10-14T16:49:14.000Z","C10","0.19"
"2021-10-14T16:49:14.000Z","C11","0.219"
"2021-10-14T16:49:14.000Z","C12","0.22"
"2021-10-14T16:49:14.000Z","C2","1.129"
"2021-10-14T16:49:14.000Z","C3","1.146"
"2021-10-14T16:49:14.000Z","C4","1.162"
"2021-10-14T16:49:14.000Z","C5","1.153"
"2021-10-14T16:49:14.000Z","C6","1.228"
"2021-10-14T16:49:14.000Z","C7","0.213"
"2021-10-14T16:49:14.000Z","C8","0.199"
"2021-10-14T16:49:14.000Z","C9","0.198"
"2021-10-14T16:49:14.000Z","D1","1.134"
