"time","Presens_data.pH_value","position"
"2021-10-14T15:25:14.000Z","7.01","22"
"2021-10-14T15:25:14.000Z","7.02","23"
"2021-10-14T15:25:14.000Z","6.97","24"
"2021-10-14T15:25:14.000Z","6.85","25"
"2021-10-14T15:25:14.000Z","6.91","26"
"2021-10-14T15:25:14.000Z","6.97","27"
"2021-10-14T15:25:14.000Z","6.95","28"
"2021-10-14T15:25:14.000Z","6.95","29"
"2021-10-14T15:25:14.000Z","6.98","3"
"2021-10-14T15:25:14.000Z","6.98","30"
"2021-10-14T15:25:14.000Z","6.94","31"
"2021-10-14T15:25:14.000Z","6.95","32"
"2021-10-14T15:25:14.000Z","7.05","33"
"2021-10-14T15:25:14.000Z","6.94","34"
"2021-10-14T15:25:14.000Z","6.95","35"
"2021-10-14T15:25:14.000Z","6.94","36"
"2021-10-14T15:25:14.000Z","7.03","37"
"2021-10-14T15:25:14.000Z","6.93","38"
"2021-10-14T15:25:14.000Z","6.91","39"
"2021-10-14T15:25:14.000Z","6.94","4"
"2021-10-14T15:25:14.000Z","6.96","40"
"2021-10-14T15:25:14.000Z","6.73","41"
"2021-10-14T15:25:14.000Z","6.72","42"
"2021-10-14T15:25:14.000Z","6.9","43"
"2021-10-14T15:25:14.000Z","6.98","44"
"2021-10-14T15:25:14.000Z","6.83","45"
"2021-10-14T15:25:14.000Z","6.81","46"
"2021-10-14T15:25:14.000Z","6.89","47"
"2021-10-14T15:25:14.000Z","6.93","5"
"2021-10-14T15:25:14.000Z","6.92","6"
"2021-10-14T15:25:14.000Z","6.96","7"
"2021-10-14T15:25:14.000Z","6.89","8"
"2021-10-14T15:25:14.000Z","6.97","9"
"2021-10-14T15:25:58.000Z","7.03","0"
"2021-10-14T15:25:58.000Z","6.99","1"
"2021-10-14T15:25:58.000Z","6.93","10"
"2021-10-14T15:25:58.000Z","6.88","11"
"2021-10-14T15:25:58.000Z","6.91","12"
"2021-10-14T15:25:58.000Z","6.9","13"
"2021-10-14T15:25:58.000Z","6.99","14"
"2021-10-14T15:25:58.000Z","7.02","15"
"2021-10-14T15:25:58.000Z","6.9","16"
"2021-10-14T15:25:58.000Z","6.91","17"
"2021-10-14T15:25:58.000Z","7","18"
"2021-10-14T15:25:58.000Z","7","19"
"2021-10-14T15:25:58.000Z","6.98","2"
"2021-10-14T15:25:58.000Z","6.94","20"
"2021-10-14T15:25:58.000Z","6.97","21"
"2021-10-14T15:25:58.000Z","7.01","22"
"2021-10-14T15:25:58.000Z","7.02","23"
"2021-10-14T15:25:58.000Z","6.98","24"
"2021-10-14T15:25:58.000Z","6.87","25"
"2021-10-14T15:25:58.000Z","6.93","26"
"2021-10-14T15:25:58.000Z","6.97","27"
"2021-10-14T15:25:58.000Z","6.96","28"
"2021-10-14T15:25:58.000Z","6.95","29"
"2021-10-14T15:25:58.000Z","6.99","3"
"2021-10-14T15:25:58.000Z","6.99","30"
"2021-10-14T15:25:58.000Z","6.95","31"
"2021-10-14T15:25:58.000Z","6.97","32"
