time [s since Epoch];A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
1634285191;0.501;0.566;0.544;0.615;0.662;0.621;0.058;0.057;0.057;0.421;0.45;0.435;0.489;0.572;0.553;0.613;0.67;0.652;0.058;0.059;0.055;0.668;0.704;0.659;0.489;0.542;0.54;0.564;0.611;0.629;0.057;0.058;0.058;0.843;0.87;0.843;0.485;0.539;0.563;0.587;0.667;0.64;0.057;0.056;0.058;1.07;1.107;1.088;0.557;0.549;0.606;0.617;0.642;0.693;0.058;0.057;0.058;1.22;1.284;1.291;0.498;0.567;0.582;0.589;0.682;0.672;0.058;0.059;0.058;1.415;1.478;1.497;0.5;0.544;0.611;0.598;0.621;0.679;0.058;0.059;0.058;0.058;0.057;0.057;0.454;0.52;0.529;0.543;0.583;0.666;0.058;0.055;0.058;0.058;0.056;0.059
1634289400;0.851;1.19;0.899;1.253;1.098;1.179;0.059;0.058;0.056;0.504;0.505;0.489;0.82;1.175;0.847;1.148;1.114;1.157;0.056;0.059;0.057;0.69;0.753;0.7;0.788;1.077;0.926;1.095;1.074;1.099;0.058;0.058;0.058;0.923;0.898;0.876;0.802;1.073;0.915;1.143;1.104;1.154;0.057;0.058;0.056;1.101;1.184;1.1;1.032;1.113;1.063;1.135;1.252;1.228;0.055;0.058;0.058;1.294;1.286;1.32;0.91;1.119;1.063;1.062;1.266;1.194;0.056;0.059;0.058;1.469;1.563;1.548;0.944;1.08;1.141;1.091;1.115;1.258;0.058;0.058;0.058;0.058;0.054;0.057;0.801;1.028;1.052;1.028;1.1;1.219;0.058;0.057;0.057;0.054;0.057;0.058
1634293600;1.091;1.34;1.221;1.447;1.416;1.489;0.058;0.058;0.056;0.562;0.581;0.581;1.098;1.327;1.128;1.406;1.425;1.46;0.058;0.059;0.057;0.758;0.815;0.77;1.042;1.308;1.154;1.351;1.323;1.425;0.054;0.058;0.057;0.946;0.947;0.964;1.031;1.278;1.21;1.336;1.431;1.444;0.058;0.058;0.058;1.114;1.222;1.192;1.285;1.252;1.379;1.422;1.501;1.519;0.058;0.057;0.058;1.296;1.347;1.331;1.188;1.282;1.368;1.303;1.468;1.477;0.057;0.059;0.058;1.482;1.592;1.544;1.19;1.29;1.384;1.372;1.427;1.491;0.058;0.056;0.059;0.058;0.058;0.058;0.972;1.115;1.253;1.225;1.415;1.458;0.058;0.054;0.058;0.058;0.056;0.058
1634297802;1.337;1.391;1.406;1.556;1.613;1.542;0.057;0.055;0.055;0.708;0.708;0.662;1.389;1.434;1.378;1.593;1.73;1.638;0.058;0.059;0.054;0.893;0.922;0.842;1.362;1.409;1.399;1.489;1.567;1.588;0.056;0.058;0.055;1.081;1.044;1.037;1.334;1.357;1.466;1.522;1.678;1.587;0.058;0.058;0.057;1.264;1.263;1.238;1.481;1.411;1.464;1.54;1.643;1.632;0.054;0.056;0.058;1.358;1.362;1.39;1.424;1.345;1.495;1.451;1.628;1.561;0.056;0.057;0.058;1.592;1.575;1.561;1.401;1.381;1.546;1.466;1.548;1.592;0.058;0.054;0.058;0.058;0.057;0.058;1.323;1.361;1.463;1.394;1.559;1.63;0.057;0.056;0.058;0.056;0.058;0.058
1634302003;1.579;1.597;1.642;1.715;1.926;1.772;0.059;0.056;0.058;0.861;0.817;0.831;1.498;1.461;1.602;1.598;1.994;1.779;0.059;0.059;0.058;1.058;1.053;0.954;1.457;1.505;1.666;1.52;1.864;1.704;0.057;0.058;0.055;1.153;1.171;1.137;1.537;1.414;1.67;1.598;1.922;1.743;0.058;0.057;0.058;1.274;1.414;1.302;1.546;1.414;1.563;1.593;1.767;1.778;0.056;0.057;0.058;1.507;1.472;1.51;1.412;1.498;1.568;1.508;1.889;1.704;0.057;0.058;0.056;1.694;1.756;1.77;1.459;1.377;1.682;1.565;1.792;1.772;0.058;0.055;0.058;0.059;0.055;0.057;1.414;1.448;1.534;1.529;1.757;1.679;0.055;0.054;0.058;0.056;0.055;0.058
