time [s since Epoch];A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
1633075634;0.121;0.121;0.122;0.121;0.127;0.127;0.043;0.044;0.043;0.117;0.115;0.12;0.126;0.13;0.134;0.132;0.135;0.13;0.044;0.044;0.044;0.122;0.125;0.123;0.126;0.119;0.127;0.127;0.142;0.138;0.044;0.043;0.043;0.118;0.115;0.124;0.118;0.122;0.134;0.13;0.132;0.135;0.043;0.043;0.044;0.125;0.118;0.125;0.129;0.127;0.141;0.14;0.135;0.133;0.043;0.043;0.043;0.13;0.118;0.126;0.126;0.126;0.133;0.136;0.126;0.142;0.043;0.044;0.042;0.126;0.12;0.123;0.131;0.127;0.123;0.136;0.13;0.138;0.043;0.044;0.043;0.043;0.044;0.043;0.12;0.125;0.127;0.125;0.135;0.132;0.043;0.043;0.043;0.043;0.043;0.043
1633079842;0.139;0.126;0.143;0.131;0.152;0.147;0.043;0.042;0.041;0.13;0.137;0.135;0.141;0.136;0.152;0.143;0.154;0.139;0.043;0.043;0.043;0.137;0.141;0.133;0.137;0.133;0.148;0.131;0.161;0.148;0.044;0.043;0.044;0.126;0.129;0.143;0.136;0.128;0.15;0.137;0.149;0.146;0.042;0.043;0.042;0.14;0.129;0.135;0.136;0.135;0.154;0.142;0.152;0.139;0.043;0.043;0.042;0.137;0.13;0.139;0.136;0.132;0.143;0.14;0.146;0.155;0.042;0.043;0.044;0.135;0.128;0.139;0.146;0.134;0.137;0.138;0.148;0.147;0.044;0.042;0.042;0.042;0.044;0.043;0.139;0.138;0.144;0.144;0.159;0.147;0.042;0.043;0.043;0.044;0.042;0.043
1633084043;0.157;0.138;0.163;0.152;0.165;0.161;0.042;0.042;0.042;0.159;0.149;0.145;0.163;0.147;0.169;0.151;0.173;0.159;0.043;0.043;0.043;0.15;0.159;0.151;0.159;0.15;0.157;0.151;0.187;0.155;0.042;0.043;0.044;0.142;0.149;0.157;0.151;0.146;0.171;0.149;0.175;0.163;0.043;0.043;0.044;0.155;0.143;0.153;0.159;0.143;0.171;0.152;0.171;0.158;0.042;0.042;0.043;0.154;0.141;0.151;0.156;0.147;0.162;0.147;0.161;0.164;0.043;0.043;0.044;0.149;0.144;0.142;0.152;0.148;0.152;0.146;0.161;0.161;0.042;0.042;0.043;0.042;0.044;0.043;0.155;0.147;0.157;0.146;0.176;0.163;0.043;0.042;0.043;0.043;0.043;0.043
1633088244;0.188;0.157;0.184;0.174;0.207;0.175;0.043;0.043;0.042;0.199;0.19;0.18;0.182;0.168;0.194;0.175;0.201;0.19;0.043;0.043;0.043;0.184;0.201;0.191;0.177;0.167;0.183;0.166;0.208;0.175;0.044;0.043;0.044;0.182;0.179;0.194;0.168;0.164;0.193;0.173;0.196;0.192;0.043;0.042;0.043;0.175;0.164;0.176;0.174;0.162;0.2;0.167;0.2;0.176;0.043;0.043;0.043;0.171;0.158;0.169;0.173;0.152;0.182;0.161;0.192;0.182;0.043;0.044;0.044;0.161;0.154;0.166;0.177;0.152;0.18;0.161;0.187;0.178;0.043;0.043;0.043;0.042;0.044;0.043;0.184;0.159;0.186;0.159;0.201;0.18;0.044;0.042;0.043;0.044;0.042;0.042
1633092445;0.233;0.182;0.219;0.188;0.255;0.216;0.043;0.043;0.041;0.238;0.24;0.251;0.237;0.202;0.235;0.203;0.251;0.21;0.043;0.044;0.043;0.254;0.254;0.243;0.227;0.193;0.234;0.183;0.261;0.215;0.043;0.043;0.044;0.219;0.233;0.252;0.211;0.18;0.225;0.198;0.25;0.216;0.043;0.043;0.042;0.219;0.203;0.215;0.219;0.175;0.228;0.18;0.249;0.204;0.042;0.043;0.042;0.2;0.185;0.198;0.21;0.173;0.225;0.182;0.226;0.211;0.042;0.043;0.044;0.182;0.165;0.187;0.23;0.172;0.206;0.177;0.229;0.203;0.043;0.042;0.043;0.042;0.044;0.043;0.229;0.18;0.216;0.178;0.253;0.206;0.042;0.042;0.043;0.043;0.043;0.043
