time [s since Epoch];A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
1631779754;0.224;0.212;0.223;0.204;0.247;0.234;0.043;0.044;0.044;0.203;0.201;0.236;0.247;0.225;0.209;0.218;0.205;0.227;0.043;0.043;0.042;0.227;0.201;0.215;0.218;0.215;0.208;0.221;0.209;0.084;0.043;0.043;0.047;0.216;0.214;0.217;0.227;0.219;0.229;0.216;0.216;0.233;0.043;0.044;0.043;0.221;0.231;0.231;0.23;0.229;0.224;0.218;0.236;0.249;0.043;0.043;0.044;0.232;0.21;0.231;0.217;0.216;0.212;0.219;0.207;0.226;0.044;0.044;0.044;0.223;0.204;0.206;0.221;0.221;0.22;0.22;0.237;0.222;0.044;0.043;0.044;0.043;0.043;0.044;0.213;0.227;0.219;0.217;0.218;0.22;0.043;0.043;0.045;0.043;0.043;0.044
1631783962;0.284;0.257;0.286;0.253;0.284;0.267;0.041;0.043;0.045;0.259;0.268;0.282;0.286;0.271;0.25;0.256;0.258;0.265;0.042;0.044;0.043;0.267;0.274;0.269;0.261;0.254;0.25;0.269;0.247;0.088;0.043;0.043;0.042;0.265;0.273;0.27;0.26;0.254;0.271;0.246;0.269;0.266;0.044;0.044;0.043;0.246;0.29;0.268;0.269;0.271;0.258;0.257;0.28;0.283;0.042;0.042;0.044;0.263;0.256;0.288;0.257;0.248;0.247;0.257;0.242;0.258;0.041;0.043;0.044;0.253;0.247;0.256;0.275;0.268;0.26;0.246;0.276;0.241;0.044;0.043;0.043;0.045;0.043;0.044;0.266;0.273;0.261;0.254;0.253;0.255;0.042;0.043;0.044;0.043;0.044;0.042
1631788164;0.356;0.328;0.366;0.318;0.359;0.333;0.041;0.045;0.044;0.344;0.351;0.372;0.388;0.341;0.318;0.326;0.316;0.348;0.043;0.043;0.043;0.343;0.339;0.369;0.322;0.317;0.316;0.317;0.32;0.093;0.043;0.044;0.042;0.332;0.356;0.35;0.329;0.323;0.335;0.305;0.322;0.351;0.044;0.044;0.042;0.315;0.352;0.346;0.327;0.337;0.326;0.309;0.346;0.365;0.041;0.043;0.044;0.323;0.316;0.352;0.32;0.314;0.304;0.315;0.3;0.308;0.042;0.042;0.043;0.305;0.291;0.288;0.343;0.327;0.327;0.313;0.355;0.32;0.044;0.042;0.044;0.043;0.042;0.044;0.329;0.344;0.319;0.305;0.32;0.306;0.043;0.043;0.045;0.043;0.043;0.044
1631792366;0.457;0.462;0.467;0.406;0.451;0.458;0.042;0.043;0.044;0.447;0.482;0.526;0.476;0.47;0.414;0.435;0.397;0.437;0.043;0.043;0.042;0.466;0.474;0.477;0.435;0.429;0.404;0.441;0.42;0.1;0.043;0.042;0.042;0.45;0.455;0.463;0.442;0.419;0.438;0.408;0.403;0.436;0.043;0.043;0.042;0.424;0.464;0.447;0.463;0.429;0.426;0.407;0.423;0.484;0.042;0.043;0.043;0.419;0.396;0.436;0.429;0.43;0.421;0.393;0.401;0.404;0.044;0.042;0.042;0.383;0.378;0.378;0.462;0.424;0.407;0.415;0.426;0.404;0.045;0.042;0.043;0.044;0.043;0.043;0.439;0.46;0.428;0.409;0.434;0.404;0.041;0.041;0.044;0.042;0.043;0.043
1631796566;0.577;0.556;0.579;0.531;0.566;0.553;0.041;0.044;0.044;0.592;0.581;0.632;0.587;0.555;0.53;0.538;0.511;0.509;0.043;0.044;0.042;0.609;0.624;0.634;0.553;0.546;0.534;0.522;0.512;0.104;0.043;0.043;0.042;0.588;0.601;0.595;0.553;0.535;0.538;0.527;0.538;0.522;0.044;0.043;0.042;0.518;0.568;0.528;0.555;0.551;0.53;0.513;0.546;0.559;0.042;0.043;0.043;0.505;0.512;0.505;0.545;0.535;0.543;0.509;0.498;0.518;0.044;0.041;0.042;0.462;0.438;0.453;0.571;0.545;0.525;0.55;0.538;0.504;0.043;0.043;0.044;0.044;0.043;0.044;0.562;0.567;0.528;0.535;0.532;0.54;0.04;0.043;0.045;0.042;0.042;0.044
