time [s since Epoch];A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
1632384662;0.694;0.722;0.732;0.704;0.726;0.77;0.058;0.055;0.056;0.612;0.584;0.608;0.739;0.745;0.774;0.769;0.74;0.76;0.057;0.053;0.056;0.819;0.819;0.879;0.726;0.786;0.73;0.747;0.801;0.785;0.058;0.055;0.056;1.037;1.037;1.096;0.754;0.716;0.72;0.826;0.727;0.761;0.057;0.056;0.057;1.268;1.238;1.255;0.759;0.714;0.802;0.788;0.71;0.817;0.055;0.056;0.057;1.476;1.456;1.512;0.719;0.739;0.774;0.726;0.727;0.769;0.056;0.057;0.057;1.683;1.715;1.674;0.75;0.712;0.768;0.765;0.736;0.787;0.057;0.056;0.057;0.056;0.056;0.056;0.691;0.765;0.74;0.756;0.738;0.765;0.054;0.053;0.055;0.058;0.057;0.058
1632388869;1.298;1.315;1.322;1.264;1.314;1.392;0.056;0.055;0.054;0.683;0.686;0.666;1.337;1.311;1.391;1.334;1.343;1.344;0.056;0.057;0.053;0.9;0.901;0.963;1.34;1.356;1.315;1.297;1.432;1.338;0.056;0.055;0.055;1.099;1.14;1.173;1.433;1.236;1.333;1.429;1.325;1.339;0.055;0.058;0.055;1.305;1.299;1.296;1.374;1.254;1.391;1.387;1.258;1.4;0.054;0.054;0.054;1.5;1.517;1.509;1.291;1.314;1.405;1.25;1.302;1.285;0.056;0.054;0.055;1.731;1.721;1.75;1.332;1.267;1.317;1.349;1.323;1.393;0.056;0.056;0.055;0.056;0.055;0.055;1.317;1.392;1.321;1.34;1.304;1.403;0.056;0.055;0.055;0.058;0.056;0.055
1632393070;1.67;1.573;1.588;1.632;1.538;1.639;0.056;0.054;0.054;0.853;0.828;0.801;1.702;1.579;1.641;1.603;1.562;1.602;0.055;0.057;0.054;1.013;0.997;1.023;1.695;1.627;1.599;1.601;1.685;1.559;0.055;0.056;0.055;1.219;1.262;1.219;1.713;1.543;1.581;1.624;1.547;1.604;0.056;0.055;0.056;1.375;1.383;1.363;1.608;1.568;1.612;1.553;1.51;1.645;0.055;0.055;0.054;1.536;1.577;1.656;1.68;1.616;1.6;1.615;1.543;1.569;0.055;0.055;0.055;1.81;1.785;1.752;1.573;1.59;1.574;1.557;1.577;1.609;0.056;0.054;0.056;0.057;0.055;0.053;1.655;1.603;1.524;1.625;1.544;1.66;0.057;0.054;0.055;0.057;0.053;0.056
1632397272;1.894;1.864;1.744;1.706;1.737;1.682;0.056;0.055;0.053;0.978;0.998;0.934;1.86;1.747;1.735;1.703;1.782;1.835;0.056;0.056;0.053;1.134;1.154;1.146;1.774;1.873;1.648;1.688;1.825;1.805;0.054;0.054;0.054;1.319;1.403;1.425;1.848;1.751;1.711;1.788;1.763;1.745;0.055;0.055;0.055;1.514;1.471;1.594;1.788;1.755;1.706;1.699;1.638;1.791;0.055;0.054;0.054;1.704;1.666;1.807;1.747;1.806;1.71;1.626;1.735;1.719;0.055;0.056;0.055;1.891;2.006;1.957;1.76;1.674;1.686;1.694;1.694;1.743;0.055;0.054;0.055;0.056;0.054;0.053;1.823;1.839;1.651;1.664;1.767;1.732;0.056;0.057;0.053;0.057;0.055;0.056
1632401472;2.148;2.132;2.07;1.983;1.933;2.071;0.056;0.054;0.054;1.339;1.345;1.341;2.016;2.123;2.132;1.883;1.984;2.115;0.055;0.055;0.054;1.41;1.47;1.535;2.116;2.099;2.009;1.932;2.089;2.109;0.054;0.056;0.056;1.574;1.665;1.74;2.172;1.971;2.045;2.105;1.99;2.015;0.055;0.056;0.055;1.785;1.786;1.801;2.076;2.003;2.068;1.968;1.929;2.08;0.055;0.055;0.054;2.014;1.988;2.129;2.095;2.05;1.928;1.894;1.946;2.1;0.054;0.055;0.055;2.305;2.191;2.31;2.064;1.984;1.902;1.952;2;2.066;0.056;0.055;0.055;0.056;0.054;0.053;2.034;2.109;2.016;1.984;2.019;2.094;0.054;0.056;0.054;0.057;0.055;0.056
