time [s since Epoch];A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
1632384662;0.21;0.22;0.218;0.206;0.216;0.234;0.043;0.043;0.044;0.221;0.209;0.215;0.229;0.231;0.232;0.235;0.221;0.229;0.044;0.043;0.043;0.219;0.21;0.236;0.223;0.245;0.222;0.227;0.249;0.249;0.044;0.043;0.043;0.222;0.222;0.233;0.232;0.218;0.216;0.262;0.216;0.239;0.043;0.043;0.043;0.23;0.206;0.22;0.232;0.217;0.25;0.245;0.217;0.261;0.042;0.043;0.044;0.23;0.209;0.235;0.222;0.228;0.238;0.222;0.221;0.247;0.043;0.043;0.043;0.228;0.221;0.223;0.241;0.217;0.233;0.24;0.221;0.249;0.044;0.043;0.043;0.043;0.043;0.043;0.215;0.234;0.225;0.232;0.222;0.239;0.042;0.042;0.043;0.043;0.043;0.043
1632388869;0.248;0.262;0.248;0.232;0.244;0.259;0.042;0.043;0.043;0.265;0.257;0.249;0.27;0.259;0.262;0.252;0.248;0.252;0.043;0.044;0.042;0.274;0.258;0.289;0.259;0.277;0.243;0.242;0.277;0.253;0.043;0.043;0.043;0.265;0.275;0.285;0.279;0.241;0.256;0.275;0.241;0.262;0.043;0.043;0.043;0.262;0.245;0.258;0.264;0.247;0.27;0.264;0.243;0.278;0.042;0.042;0.042;0.266;0.248;0.269;0.254;0.261;0.269;0.244;0.243;0.265;0.043;0.042;0.042;0.262;0.254;0.262;0.276;0.244;0.252;0.259;0.244;0.273;0.043;0.044;0.042;0.043;0.043;0.042;0.267;0.278;0.258;0.255;0.242;0.267;0.042;0.042;0.044;0.044;0.043;0.044
1632393070;0.312;0.293;0.289;0.286;0.276;0.291;0.043;0.043;0.044;0.353;0.333;0.314;0.328;0.292;0.298;0.293;0.279;0.284;0.043;0.044;0.042;0.341;0.319;0.339;0.32;0.316;0.284;0.292;0.318;0.28;0.043;0.043;0.043;0.333;0.347;0.329;0.331;0.276;0.28;0.304;0.265;0.292;0.043;0.042;0.043;0.311;0.292;0.315;0.308;0.287;0.312;0.29;0.271;0.312;0.043;0.043;0.042;0.301;0.292;0.331;0.323;0.3;0.295;0.3;0.268;0.307;0.043;0.043;0.044;0.313;0.292;0.297;0.313;0.289;0.286;0.283;0.275;0.297;0.043;0.043;0.043;0.044;0.042;0.043;0.323;0.302;0.285;0.302;0.278;0.299;0.042;0.042;0.043;0.044;0.043;0.044
1632397272;0.366;0.37;0.347;0.323;0.347;0.316;0.042;0.043;0.043;0.419;0.426;0.389;0.378;0.344;0.341;0.343;0.348;0.341;0.042;0.044;0.042;0.415;0.418;0.409;0.353;0.388;0.325;0.325;0.369;0.341;0.043;0.043;0.042;0.389;0.423;0.424;0.373;0.346;0.331;0.361;0.326;0.331;0.043;0.042;0.043;0.373;0.346;0.393;0.363;0.352;0.367;0.338;0.317;0.353;0.042;0.042;0.042;0.351;0.335;0.376;0.351;0.362;0.343;0.335;0.329;0.354;0.043;0.043;0.043;0.339;0.348;0.343;0.374;0.329;0.339;0.335;0.313;0.335;0.044;0.043;0.043;0.042;0.043;0.042;0.379;0.38;0.335;0.34;0.34;0.321;0.042;0.043;0.043;0.043;0.043;0.044
1632401472;0.399;0.405;0.406;0.371;0.377;0.385;0.042;0.043;0.043;0.466;0.466;0.475;0.385;0.407;0.407;0.381;0.377;0.383;0.043;0.043;0.042;0.448;0.459;0.497;0.394;0.414;0.395;0.368;0.405;0.385;0.042;0.043;0.042;0.429;0.45;0.476;0.41;0.376;0.397;0.405;0.364;0.364;0.042;0.044;0.043;0.421;0.404;0.41;0.396;0.391;0.429;0.394;0.381;0.389;0.042;0.043;0.043;0.402;0.391;0.424;0.4;0.398;0.383;0.396;0.364;0.432;0.043;0.043;0.043;0.399;0.367;0.391;0.424;0.382;0.38;0.39;0.365;0.387;0.043;0.043;0.043;0.043;0.043;0.042;0.41;0.427;0.419;0.408;0.386;0.384;0.043;0.043;0.043;0.043;0.043;0.043
