time [s since Epoch];A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
1633075634;0.402;0.454;0.42;0.462;0.415;0.47;0.056;0.056;0.056;0.35;0.358;0.369;0.397;0.458;0.443;0.479;0.449;0.498;0.057;0.057;0.056;0.584;0.608;0.595;0.391;0.416;0.42;0.459;0.459;0.515;0.056;0.057;0.056;0.81;0.759;0.787;0.39;0.444;0.444;0.47;0.422;0.499;0.056;0.057;0.057;0.982;1.011;0.983;0.422;0.488;0.47;0.52;0.456;0.509;0.056;0.057;0.057;1.2;1.222;1.198;0.419;0.478;0.442;0.504;0.419;0.538;0.056;0.055;0.055;1.377;1.433;1.415;0.444;0.489;0.422;0.508;0.439;0.528;0.058;0.057;0.056;0.057;0.055;0.057;0.386;0.476;0.418;0.465;0.44;0.489;0.056;0.057;0.057;0.058;0.057;0.057
1633079842;0.616;0.807;0.646;0.865;0.64;0.937;0.054;0.053;0.054;0.386;0.418;0.412;0.53;0.815;0.638;0.907;0.668;0.942;0.056;0.055;0.054;0.609;0.636;0.602;0.553;0.797;0.634;0.834;0.684;1.001;0.055;0.054;0.055;0.79;0.83;0.866;0.621;0.839;0.66;0.897;0.638;0.906;0.055;0.056;0.054;1.05;1.019;1.037;0.665;0.993;0.743;1.038;0.744;0.999;0.053;0.053;0.055;1.226;1.248;1.29;0.648;0.965;0.669;1.018;0.735;1.089;0.054;0.054;0.055;1.425;1.469;1.522;0.769;1.012;0.719;1.013;0.777;1.063;0.057;0.055;0.054;0.054;0.053;0.056;0.625;1.018;0.673;1.052;0.777;1.051;0.053;0.056;0.055;0.058;0.054;0.056
1633084043;0.784;1.04;0.813;1.163;0.767;1.195;0.054;0.053;0.054;0.46;0.444;0.434;0.659;1.005;0.802;1.09;0.827;1.222;0.055;0.055;0.054;0.611;0.65;0.628;0.697;1.032;0.746;1.115;0.867;1.183;0.053;0.054;0.056;0.807;0.857;0.873;0.765;1.14;0.851;1.13;0.823;1.186;0.055;0.057;0.055;1.058;1.062;1.071;0.877;1.241;0.929;1.251;0.939;1.268;0.054;0.054;0.055;1.311;1.274;1.283;0.825;1.249;0.881;1.208;0.936;1.301;0.054;0.055;0.055;1.459;1.563;1.444;0.918;1.308;0.915;1.202;0.955;1.301;0.056;0.055;0.056;0.055;0.053;0.055;0.771;1.265;0.831;1.167;0.969;1.335;0.053;0.054;0.054;0.057;0.056;0.056
1633088244;0.942;1.212;0.956;1.305;0.977;1.294;0.054;0.054;0.054;0.553;0.527;0.519;0.724;1.137;0.939;1.258;0.981;1.422;0.055;0.055;0.055;0.654;0.695;0.684;0.774;1.142;0.892;1.198;0.991;1.305;0.055;0.055;0.056;0.885;0.899;0.933;0.868;1.292;1.005;1.306;0.967;1.365;0.055;0.055;0.055;1.058;1.054;1.088;1.003;1.384;1.136;1.333;1.145;1.357;0.055;0.055;0.055;1.269;1.283;1.282;0.952;1.31;1.033;1.302;1.16;1.379;0.055;0.054;0.054;1.454;1.526;1.573;1.11;1.315;1.136;1.281;1.166;1.391;0.055;0.055;0.055;0.054;0.055;0.056;0.92;1.35;0.983;1.265;1.129;1.422;0.057;0.054;0.055;0.058;0.055;0.054
1633092445;1.119;1.323;1.112;1.251;1.162;1.447;0.054;0.054;0.054;0.631;0.644;0.667;0.889;1.207;1.092;1.283;1.19;1.454;0.055;0.055;0.054;0.746;0.757;0.746;0.926;1.174;1.089;1.194;1.163;1.428;0.055;0.054;0.055;0.902;0.963;0.999;1.043;1.309;1.157;1.375;1.21;1.423;0.056;0.056;0.055;1.094;1.111;1.109;1.189;1.39;1.243;1.31;1.366;1.408;0.054;0.053;0.055;1.3;1.329;1.309;1.107;1.379;1.217;1.311;1.318;1.44;0.053;0.054;0.054;1.503;1.512;1.612;1.356;1.407;1.249;1.303;1.339;1.447;0.056;0.055;0.055;0.054;0.054;0.054;1.044;1.419;1.107;1.268;1.364;1.45;0.054;0.055;0.054;0.057;0.056;0.055
